MetaMessage('track_name', name='Bass', time=0)
note_on channel=0 note=43 velocity=0 time=148
note_on channel=0 note=40 velocity=74 time=92
note_on channel=0 note=40 velocity=0 time=130
note_on channel=0 note=40 velocity=104 time=110
note_on channel=0 note=40 velocity=0 time=368
note_on channel=0 note=40 velocity=109 time=112
note_on channel=0 note=40 velocity=0 time=177
note_on channel=0 note=44 velocity=120 time=63
note_on channel=0 note=44 velocity=0 time=189
note_on channel=0 note=40 velocity=109 time=51
note_on channel=0 note=40 velocity=0 time=143
note_on channel=0 note=44 velocity=120 time=97
note_on channel=0 note=44 velocity=0 time=228
note_on channel=0 note=47 velocity=95 time=12
note_on channel=0 note=47 velocity=0 time=159
note_on channel=0 note=45 velocity=124 time=81
note_on channel=0 note=45 velocity=0 time=143
note_on channel=0 note=45 velocity=109 time=97
note_on channel=0 note=45 velocity=0 time=166
note_on channel=0 note=40 velocity=104 time=74
note_on channel=0 note=40 velocity=0 time=181
note_on channel=0 note=43 velocity=98 time=59
note_on channel=0 note=43 velocity=0 time=183
note_on channel=0 note=45 velocity=120 time=57
note_on channel=0 note=45 velocity=0 time=277
MetaMessage('end_of_track', time=0)
